stage,d_um,compound,aerosol_type,nuclide,amad_used,e_sv_per_bq,conc_contrib,dose_sv,total_dose
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.000)+细峰3.52(w=1.000),4.190334751150215e-06,0.046363636363636364,2.406762508677532e-07,0.0001487078834240163
H,0.6708203932499369,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.000)+细峰3.52(w=1.000),3.968252247897224e-06,0.04636363636363636,2.2876612608863377e-07,0.0001487078834240163
H,0.6708203932499369,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.000)+细峰3.52(w=1.000),4.190334751150215e-06,0.00818181818181818,4.247227956489761e-08,0.0001487078834240163
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.000)+细峰3.52(w=1.000),3.968252247897224e-06,0.25287499999999996,1.2709329708994979e-06,0.0001487078834240163
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.000)+细峰3.52(w=1.000),4.190334751150215e-06,0.044625,2.359589794878042e-07,0.0001487078834240163
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.000)+细峰3.52(w=1.000),3.968252247897224e-06,0.044625,2.2428228898226439e-07,0.0001487078834240163
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.000)+细峰3.52(w=1.000),4.190334751150215e-06,0.007875,4.163981990961251e-08,0.0001487078834240163
A,32.63433774416144,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,3.1262019230769225,8.09226781972938e-06,0.0001072858586433125
A,32.63433774416144,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.5516826923076922,1.5255852882564698e-06,0.0001072858586433125
A,32.63433774416144,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.5516826923076922,1.428047262305185e-06,0.0001072858586433125
A,32.63433774416144,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.09735576923076922,2.6922093322172995e-07,0.0001072858586433125
B,17.75499929597295,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,2.9847540983606557,7.726125865918676e-06,0.0001072858586433125
B,17.75499929597295,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.5267213114754098,1.456558806361587e-06,0.0001072858586433125
B,17.75499929597295,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.5267213114754098,1.36343397633859e-06,0.0001072858586433125
B,17.75499929597295,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.09295081967213113,2.570397893579271e-07,0.0001072858586433125
C,12.043255373859678,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,4.16826923076923,1.0789690426305842e-05,0.0001072858586433125
C,12.043255373859678,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.735576923076923,2.034113717675293e-06,0.0001072858586433125
C,12.043255373859678,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.735576923076923,1.9040630164069138e-06,0.0001072858586433125
C,12.043255373859678,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.1298076923076923,3.5896124429563995e-07,0.0001072858586433125
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,3.4907303370786518,9.03586059671156e-06,0.0001072858586433125
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.6160112359550561,1.7034750085100958e-06,0.0001072858586433125
D,7.6681158050723255,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.6160112359550561,1.5945636347138046e-06,0.0001072858586433125
D,7.6681158050723255,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.10870786516853932,3.0061323679589924e-07,0.0001072858586433125
E,4.58257569495584,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,7.1489473684210525,1.8505265545187005e-05,0.0001072858586433125
E,4.58257569495584,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,1.261578947368421,3.488683456840994e-06,0.0001072858586433125
E,4.58257569495584,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,1.261578947368421,3.2656350962094716e-06,0.0001072858586433125
E,4.58257569495584,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.2226315789473684,6.156500217954695e-07,0.0001072858586433125
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,7.375520833333334,1.9091757782102286e-05,0.0001072858586433125
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,1.3015625,3.5992512171087827e-06,0.0001072858586433125
F,2.3664319132398464,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,1.3015625,3.369133726253344e-06,0.0001072858586433125
F,2.3664319132398464,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.2296875,6.351619794897852e-07,0.0001072858586433125
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.826778350515464,2.1401406577538606e-06,0.0001072858586433125
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.14590206185567012,4.0346750441312004e-07,0.0001072858586433125
G,1.2000000000000002,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.14590206185567012,3.7767188078009306e-07,0.0001072858586433125
G,1.2000000000000002,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.025747422680412375,7.120014783760942e-08,0.0001072858586433125
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.2627272727272727,6.800774571732168e-07,0.0001072858586433125
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.046363636363636364,1.2821080402317002e-07,0.0001072858586433125
H,0.6708203932499369,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.04636363636363636,1.2001366891292061e-07,0.0001072858586433125
H,0.6708203932499369,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.00818181818181818,2.262543600408882e-08,0.0001072858586433125
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.25287499999999996,6.667496903173119e-07,0.0001072858586433125
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.044625,1.256982024269761e-07,0.0001072858586433125
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-238,9.56,3.0228537390322443e-06,0.044625,1.1766171005599624e-07,0.0001072858586433125
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-235,9.56,3.2293197252970985e-06,0.007875,2.2182035722407548e-08,0.0001072858586433125
A,32.63433774416144,U3O8,Intermediate Type M/S,U-238,32.63,1.6e-06,3.1262019230769225,4.2832467692307695e-06,0.0001533688358205265
A,32.63433774416144,U3O8,Intermediate Type M/S,U-235,32.63,1.7e-06,0.5516826923076922,8.031087692307692e-07,0.0001533688358205265
A,32.63433774416144,UO2,Intermediate Type M/S,U-238,32.63,1.6e-06,0.5516826923076922,7.558670769230769e-07,0.0001533688358205265
A,32.63433774416144,UO2,Intermediate Type M/S,U-235,32.63,1.7e-06,0.09735576923076922,1.4172507692307694e-07,0.0001533688358205265
B,17.75499929597295,U3O8,Intermediate Type M/S,U-238,17.75,1.8233071059015302e-06,2.9847540983606557,4.660199072988914e-06,0.0001533688358205265
B,17.75499929597295,U3O8,Intermediate Type M/S,U-235,17.75,1.9404845755862636e-06,0.5267213114754098,8.752400312170906e-07,0.0001533688358205265
B,17.75499929597295,UO2,Intermediate Type M/S,U-238,17.75,1.8233071059015302e-06,0.5267213114754098,8.223880717039259e-07,0.0001533688358205265
B,17.75499929597295,UO2,Intermediate Type M/S,U-235,17.75,1.9404845755862636e-06,0.09295081967213113,1.5445412315595715e-07,0.0001533688358205265
C,12.043255373859678,U3O8,Intermediate Type M/S,U-238,12.04,2.5513069603734393e-06,4.16826923076923,9.106564412779589e-06,0.0001533688358205265
C,12.043255373859678,U3O8,Intermediate Type M/S,U-235,12.04,2.7244844188637038e-06,0.735576923076923,1.7161233948408133e-06,0.0001533688358205265
C,12.043255373859678,UO2,Intermediate Type M/S,U-238,12.04,2.5513069603734393e-06,0.735576923076923,1.6070407787258102e-06,0.0001533688358205265
C,12.043255373859678,UO2,Intermediate Type M/S,U-235,12.04,2.7244844188637038e-06,0.1298076923076923,3.0284530497190816e-07,0.0001533688358205265
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-238,7.67,3.6278063428344373e-06,3.4907303370786518,1.0844174153200173e-05,0.0001533688358205265
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-235,7.67,3.866111939825724e-06,0.6160112359550561,2.0393846474863085e-06,0.0001533688358205265
D,7.6681158050723255,UO2,Intermediate Type M/S,U-238,7.67,3.6278063428344373e-06,0.6160112359550561,1.9136777917412068e-06,0.0001533688358205265
D,7.6681158050723255,UO2,Intermediate Type M/S,U-235,7.67,3.866111939825724e-06,0.10870786516853932,3.598914083799369e-07,0.0001533688358205265
E,4.58257569495584,U3O8,Intermediate Type M/S,U-238,4.58,5.038921787246237e-06,7.1489473684210525,3.084720392865335e-05,0.0001533688358205265
E,4.58257569495584,U3O8,Intermediate Type M/S,U-235,4.58,5.338921787246237e-06,1.261578947368421,5.767718807966689e-06,0.0001533688358205265
E,4.58257569495584,UO2,Intermediate Type M/S,U-238,4.58,5.038921787246237e-06,1.261578947368421,5.443624222703532e-06,0.0001533688358205265
E,4.58257569495584,UO2,Intermediate Type M/S,U-235,4.58,5.338921787246237e-06,0.2226315789473684,1.0178327308176512e-06,0.0001533688358205265
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-238,2.37,6.459122158648154e-06,7.375520833333334,4.079456248432297e-05,0.0001533688358205265
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-235,2.37,6.780715671868833e-06,1.3015625,7.557473774944096e-06,0.0001533688358205265
F,2.3664319132398464,UO2,Intermediate Type M/S,U-238,2.37,6.459122158648154e-06,1.3015625,7.199040438409935e-06,0.0001533688358205265
F,2.3664319132398464,UO2,Intermediate Type M/S,U-235,2.37,6.780715671868833e-06,0.2296875,1.3336718426371934e-06,0.0001533688358205265
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-238,1.20,7.2008525205757635e-06,0.826778350515464,5.0981088005625045e-06,0.0001533688358205265
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-235,1.20,7.5842568972904105e-06,0.14590206185567012,9.475683622179077e-07,0.0001533688358205265
G,1.2000000000000002,UO2,Intermediate Type M/S,U-238,1.20,7.2008525205757635e-06,0.14590206185567012,8.99666258922795e-07,0.0001533688358205265
G,1.2000000000000002,UO2,Intermediate Type M/S,U-235,1.20,7.5842568972904105e-06,0.025747422680412375,1.6721794627374842e-07,0.0001533688358205265
